school_key,identity_quality,redizo,school_name_raw,address_raw,city,postcode,school_type,programme_taxonomy,programme_identity,classification_quality,programme_group_raw,programme_group_16_raw,kkov_raw,programme_name_raw,programme_focus_raw,component,mean_mz_score_pct,mean_mz_candidates,max_mz_candidates,mz_school_mean_percentile,mz_school_mean_percentile_method,mz_school_mean_percentile_reference,mean_mz_participation_rate_vs_cj,n_years,first_year,last_year,slope_per_year,slope_mz_mean_score_pct_per_year,slope_mz_school_mean_percentile_per_year
redizo:600004538,redizo,600004538,Pražská konzervatoř,"Na rejdišti 77, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,AJ,83.11800502524265,48.72727272727273,58.0,61.00825300434428,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.8728536474253265,11,2016,2026,0.49134600568159753,0.49134600568159753,0.010445267167843515
redizo:600004538,redizo,600004538,Pražská konzervatoř,"Na rejdišti 77, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,CJ,70.68797580852281,55.90909090909091,64.0,69.56549642318156,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,0.5914337360604143,0.5914337360604143,-0.25266329978459084
redizo:600004538,redizo,600004538,Pražská konzervatoř,"Na rejdišti 77, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,M,,,,,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,,11,2016,2026,,,
redizo:600004546,redizo,600004546,Gymnázium J.G.Jarkovského,"Truhlářská 1120, Praha, 11000",Praha,110 00,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,AJ,94.70313926389294,27.0,40.0,94.29633078851829,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.5256627044872156,11,2016,2026,0.1642557952187315,0.1642557952187315,0.3164726814953432
redizo:600004546,redizo,600004546,Gymnázium J.G.Jarkovského,"Truhlářská 1120, Praha, 11000",Praha,110 00,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,CJ,83.01355072571936,50.90909090909091,57.0,92.90333053263045,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,0.19585116283641407,0.19585116283641407,-0.3637975797725747
redizo:600004546,redizo,600004546,Gymnázium J.G.Jarkovského,"Truhlářská 1120, Praha, 11000",Praha,110 00,GY8,GY8,GY8,authoritative_programme_group16,GY8,GY8,,,,M,74.90461545253633,23.272727272727273,36.0,85.16222748343226,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.4613415879081973,11,2016,2026,0.26394520512164443,0.26394520512164443,0.05854812305269904
redizo:600004554,redizo,600004554,SPŠ sdělovací techniky,"Panská 856, Praha, 11000",Praha,110 00,LYC,LYC,LYC,authoritative_programme_group16,LYC,LYC,,,,AJ,91.30809523809523,8.0,12.0,87.29002287312109,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.18171553516381103,11,2016,2026,1.9474489795917658,1.9474489795917658,4.398723748741568
redizo:600004554,redizo,600004554,SPŠ sdělovací techniky,"Panská 856, Praha, 11000",Praha,110 00,LYC,LYC,LYC,authoritative_programme_group16,LYC,LYC,,,,CJ,73.2016952979914,43.72727272727273,58.0,74.59466563618048,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,1.1790301636823879,1.1790301636823879,1.1148943371537159
redizo:600004554,redizo,600004554,SPŠ sdělovací techniky,"Panská 856, Praha, 11000",Praha,110 00,LYC,LYC,LYC,authoritative_programme_group16,LYC,LYC,,,,M,70.00694415490247,40.45454545454545,53.0,75.31944128242516,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.9265219641456671,11,2016,2026,0.2948847716281783,0.2948847716281783,-0.3113682356500701
redizo:600004554,redizo,600004554,SPŠ sdělovací techniky,"Panská 856, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,AJ,85.77027379521199,63.36363636363637,79.0,69.58886168739248,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.9292746096073263,11,2016,2026,0.7712961747571061,0.7712961747571061,1.2859349902405186
redizo:600004554,redizo,600004554,SPŠ sdělovací techniky,"Panská 856, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,CJ,69.89195495906496,68.18181818181819,85.0,67.80809762657583,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,0.9610749208193243,0.9610749208193243,0.534187941020078
redizo:600004554,redizo,600004554,SPŠ sdělovací techniky,"Panská 856, Praha, 11000",Praha,110 00,SOS_ARTS,SOS_ARTS,SOS_ARTS,authoritative_programme_group16,SUM,SUM,,,,M,46.589814814814815,7.5,12.0,36.69550555197599,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.11157080739117502,11,2016,2026,-3.2388888888890155,-3.2388888888890155,-6.721530215506045
redizo:600004554,redizo,600004554,SPŠ sdělovací techniky,"Panská 856, Praha, 11000",Praha,110 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,AJ,88.36862754239223,25.636363636363637,42.0,77.68961969161253,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=AJ,0.6688253001650131,11,2016,2026,0.6092230142406756,0.6092230142406756,1.0179564802697771
redizo:600004554,redizo,600004554,SPŠ sdělovací techniky,"Panská 856, Praha, 11000",Praha,110 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,CJ,67.39158416012482,37.81818181818182,48.0,60.47844022418849,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=CJ,1.0,11,2016,2026,0.6245214102750097,0.6245214102750097,-0.2582704952521286
redizo:600004554,redizo,600004554,SPŠ sdělovací techniky,"Panská 856, Praha, 11000",Praha,110 00,SOS_TECHNICAL,SOS_TECHNICAL,SOS_TECHNICAL,authoritative_programme_group16,ST1,ST1,,,,M,57.4474025974026,12.181818181818182,28.0,46.146418205196625,equal_weight_school_mean_percentile_rank,eligible schools in graduation_year=2016 component=M,0.33117469983498693,11,2016,2026,0.4860822510822661,0.4860822510822661,-1.9304184623346068
